,,,,,,
,,,,,,
,,,,,,
Sl.No,Versions,DLOC,Metrics 5,LOC,Bugs,Metrics 6
1,1.0.4,993,87.93,9564,23,2.404851527
2,1.1,4157,119.57,16604,9,0.5420380631
3,1.1.1,568,83.68,18898,14,0.7408191343
4,1.1.2,5806,136.06,18155,2,0.1101624897
5,1.1.3,0,78,18150,0,0
6,1.2,83,78.83,18257,2,0.1095470231
