,,,,,,
,,,,,,
Sl.No,Versions,DLOC,Metrics 5,LOC,Bugs,Metrics 6
1,3.3,2626,104.26,,,
2,3.3.1,163,79.63,,,
3,3.3.2,56,78.56,,,
4,3.4,4090,118.9,,,
5,3.5,10982,187.82,,,
6,3.6,7423,152.23,,,
7,3.7,3027,108.27,,,
8,3.8,1354,91.54,,,
9,3.8.1,0,78,,,
10,3.9,13821,216.21,,,
11,3.10,16409,242.09,,,
