,,,,,,
,,,,,,
,,,,,,
,,,,,,
Sl.No,Versions,DLOC,Metrics 5,LOC,Bugs,Metrics 6
1,1.0,15873,236.73,,,
2,1.1,4696,124.96,,,
3,2.0,85787,935.87,,,
4,2.1,13768,215.68,,,
5,2.2,21411,292.11,,,
6,3.4,135802,1436.02,,,
7,3.6.1,18473,262.73,,,
