,,,,,,
,,,,,,
,,,,,,
,,,,,,
Sl.No,Versions,DLOC,Metrics 5,LOC,Bugs,Metrics 6
1,1.4.1,12,78.12,,,
2,2.2,17591,253.91,,,
3,3.3,8017,158.17,,,
4,3.4,3563,113.63,,,
5,3.5,231,80.31,,,
6,3.6,1152,89.52,,,
