GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,ClassLoaderUtils,6,18,1,1,2,3,2,2,1,2
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,NotImplementedException,6,41,0,0,3,16,1,7,1,7
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,StringEscapeUtils,0,1091,0,0,0,146,0,18,0,18
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,CharRange.CharacterIterator,0,130,0,18,0,36,0,14,0,5
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,BooleanUtils,0,806,9,249,0,207,9,163,0,41
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,LocaleUtils,0,459,6,82,0,94,6,52,0,14
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,ClassUtils.new Iterator() {...},4,26,0,2,1,5,1,4,1,3
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,CharSet,2,310,1,33,1,58,1,25,0,9
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,ThreadUtils,0,290,5,25,0,60,5,26,0,16
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,JavaVersion,8,410,5,41,4,87,5,27,0,9
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,Streams,12,5,0,0,3,1,3,1,3,1
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,CharUtils,0,337,0,50,0,55,0,50,0,25
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,BitField,0,139,0,12,0,21,0,24,0,18
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,0,27,1,5,0,6,1,4,0,2
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3,ClassUtils.new Iterator() {...},4,91,1,9,1,17,2,8,1,4
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3.reflect,TypeUtils,737,1686,164,262,147,374,128,144,8,51
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3.reflect,ConstructorUtils,15,185,3,21,4,50,4,17,1,8
"java (2) (Mar. 25, 2020 1:24:29 p.m.)/commons-lang-master/src/main/java",org.apache.commons.lang3.reflect,FieldUtils,16,652,4,44,7,139,6,53,2,33
